Time	/Calc/CenterOfGravity X	/Calc/CenterOfGravity Y	/Calc/CenterOfGravity Z	/Calc/CenterOfGravity 长度	/Calc/CenterOfGravity v(X)	/Calc/CenterOfGravity v(Y)	/Calc/CenterOfGravity v(Z)	/Calc/CenterOfGravity v(绝对值)	/Calc/CenterOfGravity a(X)	/Calc/CenterOfGravity a(Y)	/Calc/CenterOfGravity a(Z)	/Calc/CenterOfGravity a(绝对值)	/Joint/Root X	/Joint/Root Y	/Joint/Root Z	/Joint/Root 长度	/Joint/Root v(X)	/Joint/Root v(Y)	/Joint/Root v(Z)	/Joint/Root v(绝对值)	/Joint/Root a(X)	/Joint/Root a(Y)	/Joint/Root a(Z)	/Joint/Root a(绝对值)	/Joint/Hip/Right X	/Joint/Hip/Right Y	/Joint/Hip/Right Z	/Joint/Hip/Right 长度	/Joint/Hip/Right v(X)	/Joint/Hip/Right v(Y)	/Joint/Hip/Right v(Z)	/Joint/Hip/Right v(绝对值)	/Joint/Hip/Right a(X)	/Joint/Hip/Right a(Y)	/Joint/Hip/Right a(Z)	/Joint/Hip/Right a(绝对值)	/Joint/Knee/Right X	/Joint/Knee/Right Y	/Joint/Knee/Right Z	/Joint/Knee/Right 长度	/Joint/Knee/Right v(X)	/Joint/Knee/Right v(Y)	/Joint/Knee/Right v(Z)	/Joint/Knee/Right v(绝对值)	/Joint/Knee/Right a(X)	/Joint/Knee/Right a(Y)	/Joint/Knee/Right a(Z)	/Joint/Knee/Right a(绝对值)	/Joint/Ankle/Right X	/Joint/Ankle/Right Y	/Joint/Ankle/Right Z	/Joint/Ankle/Right 长度	/Joint/Ankle/Right v(X)	/Joint/Ankle/Right v(Y)	/Joint/Ankle/Right v(Z)	/Joint/Ankle/Right v(绝对值)	/Joint/Ankle/Right a(X)	/Joint/Ankle/Right a(Y)	/Joint/Ankle/Right a(Z)	/Joint/Ankle/Right a(绝对值)	/Joint/Hip/Left X	/Joint/Hip/Left Y	/Joint/Hip/Left Z	/Joint/Hip/Left 长度	/Joint/Hip/Left v(X)	/Joint/Hip/Left v(Y)	/Joint/Hip/Left v(Z)	/Joint/Hip/Left v(绝对值)	/Joint/Hip/Left a(X)	/Joint/Hip/Left a(Y)	/Joint/Hip/Left a(Z)	/Joint/Hip/Left a(绝对值)	/Joint/Knee/Left X	/Joint/Knee/Left Y	/Joint/Knee/Left Z	/Joint/Knee/Left 长度	/Joint/Knee/Left v(X)	/Joint/Knee/Left v(Y)	/Joint/Knee/Left v(Z)	/Joint/Knee/Left v(绝对值)	/Joint/Knee/Left a(X)	/Joint/Knee/Left a(Y)	/Joint/Knee/Left a(Z)	/Joint/Knee/Left a(绝对值)	/Joint/Ankle/Left X	/Joint/Ankle/Left Y	/Joint/Ankle/Left Z	/Joint/Ankle/Left 长度	/Joint/Ankle/Left v(X)	/Joint/Ankle/Left v(Y)	/Joint/Ankle/Left v(Z)	/Joint/Ankle/Left v(绝对值)	/Joint/Ankle/Left a(X)	/Joint/Ankle/Left a(Y)	/Joint/Ankle/Left a(Z)	/Joint/Ankle/Left a(绝对值)	/Joint/Pelvis X	/Joint/Pelvis Y	/Joint/Pelvis Z	/Joint/Pelvis 长度	/Joint/Pelvis v(X)	/Joint/Pelvis v(Y)	/Joint/Pelvis v(Z)	/Joint/Pelvis v(绝对值)	/Joint/Pelvis a(X)	/Joint/Pelvis a(Y)	/Joint/Pelvis a(Z)	/Joint/Pelvis a(绝对值)	/Joint/Torso X	/Joint/Torso Y	/Joint/Torso Z	/Joint/Torso 长度	/Joint/Torso v(X)	/Joint/Torso v(Y)	/Joint/Torso v(Z)	/Joint/Torso v(绝对值)	/Joint/Torso a(X)	/Joint/Torso a(Y)	/Joint/Torso a(Z)	/Joint/Torso a(绝对值)	/Joint/Shoulder/Right X	/Joint/Shoulder/Right Y	/Joint/Shoulder/Right Z	/Joint/Shoulder/Right 长度	/Joint/Shoulder/Right v(X)	/Joint/Shoulder/Right v(Y)	/Joint/Shoulder/Right v(Z)	/Joint/Shoulder/Right v(绝对值)	/Joint/Shoulder/Right a(X)	/Joint/Shoulder/Right a(Y)	/Joint/Shoulder/Right a(Z)	/Joint/Shoulder/Right a(绝对值)	/Joint/Elbow/Right X	/Joint/Elbow/Right Y	/Joint/Elbow/Right Z	/Joint/Elbow/Right 长度	/Joint/Elbow/Right v(X)	/Joint/Elbow/Right v(Y)	/Joint/Elbow/Right v(Z)	/Joint/Elbow/Right v(绝对值)	/Joint/Elbow/Right a(X)	/Joint/Elbow/Right a(Y)	/Joint/Elbow/Right a(Z)	/Joint/Elbow/Right a(绝对值)	/Joint/Wrist/Right X	/Joint/Wrist/Right Y	/Joint/Wrist/Right Z	/Joint/Wrist/Right 长度	/Joint/Wrist/Right v(X)	/Joint/Wrist/Right v(Y)	/Joint/Wrist/Right v(Z)	/Joint/Wrist/Right v(绝对值)	/Joint/Wrist/Right a(X)	/Joint/Wrist/Right a(Y)	/Joint/Wrist/Right a(Z)	/Joint/Wrist/Right a(绝对值)	/Joint/Shoulder/Left X	/Joint/Shoulder/Left Y	/Joint/Shoulder/Left Z	/Joint/Shoulder/Left 长度	/Joint/Shoulder/Left v(X)	/Joint/Shoulder/Left v(Y)	/Joint/Shoulder/Left v(Z)	/Joint/Shoulder/Left v(绝对值)	/Joint/Shoulder/Left a(X)	/Joint/Shoulder/Left a(Y)	/Joint/Shoulder/Left a(Z)	/Joint/Shoulder/Left a(绝对值)	/Joint/Elbow/Left X	/Joint/Elbow/Left Y	/Joint/Elbow/Left Z	/Joint/Elbow/Left 长度	/Joint/Elbow/Left v(X)	/Joint/Elbow/Left v(Y)	/Joint/Elbow/Left v(Z)	/Joint/Elbow/Left v(绝对值)	/Joint/Elbow/Left a(X)	/Joint/Elbow/Left a(Y)	/Joint/Elbow/Left a(Z)	/Joint/Elbow/Left a(绝对值)	/Joint/Wrist/Left X	/Joint/Wrist/Left Y	/Joint/Wrist/Left Z	/Joint/Wrist/Left 长度	/Joint/Wrist/Left v(X)	/Joint/Wrist/Left v(Y)	/Joint/Wrist/Left v(Z)	/Joint/Wrist/Left v(绝对值)	/Joint/Wrist/Left a(X)	/Joint/Wrist/Left a(Y)	/Joint/Wrist/Left a(Z)	/Joint/Wrist/Left a(绝对值)	/Joint/Neck X	/Joint/Neck Y	/Joint/Neck Z	/Joint/Neck 长度	/Joint/Neck v(X)	/Joint/Neck v(Y)	/Joint/Neck v(Z)	/Joint/Neck v(绝对值)	/Joint/Neck a(X)	/Joint/Neck a(Y)	/Joint/Neck a(Z)	/Joint/Neck a(绝对值)	/Joint/Skullbase X	/Joint/Skullbase Y	/Joint/Skullbase Z	/Joint/Skullbase 长度	/Joint/Skullbase v(X)	/Joint/Skullbase v(Y)	/Joint/Skullbase v(Z)	/Joint/Skullbase v(绝对值)	/Joint/Skullbase a(X)	/Joint/Skullbase a(Y)	/Joint/Skullbase a(Z)	/Joint/Skullbase a(绝对值)	/Joint/Spine/Low X	/Joint/Spine/Low Y	/Joint/Spine/Low Z	/Joint/Spine/Low 长度	/Joint/Spine/Low v(X)	/Joint/Spine/Low v(Y)	/Joint/Spine/Low v(Z)	/Joint/Spine/Low v(绝对值)	/Joint/Spine/Low a(X)	/Joint/Spine/Low a(Y)	/Joint/Spine/Low a(Z)	/Joint/Spine/Low a(绝对值)	/Joint/Spine/High X	/Joint/Spine/High Y	/Joint/Spine/High Z	/Joint/Spine/High 长度	/Joint/Spine/High v(X)	/Joint/Spine/High v(Y)	/Joint/Spine/High v(Z)	/Joint/Spine/High v(绝对值)	/Joint/Spine/High a(X)	/Joint/Spine/High a(Y)	/Joint/Spine/High a(Z)	/Joint/Spine/High a(绝对值)	/Joint/Clavicular/Right X	/Joint/Clavicular/Right Y	/Joint/Clavicular/Right Z	/Joint/Clavicular/Right 长度	/Joint/Clavicular/Right v(X)	/Joint/Clavicular/Right v(Y)	/Joint/Clavicular/Right v(Z)	/Joint/Clavicular/Right v(绝对值)	/Joint/Clavicular/Right a(X)	/Joint/Clavicular/Right a(Y)	/Joint/Clavicular/Right a(Z)	/Joint/Clavicular/Right a(绝对值)	/Joint/Clavicular/Left X	/Joint/Clavicular/Left Y	/Joint/Clavicular/Left Z	/Joint/Clavicular/Left 长度	/Joint/Clavicular/Left v(X)	/Joint/Clavicular/Left v(Y)	/Joint/Clavicular/Left v(Z)	/Joint/Clavicular/Left v(绝对值)	/Joint/Clavicular/Left a(X)	/Joint/Clavicular/Left a(Y)	/Joint/Clavicular/Left a(Z)	/Joint/Clavicular/Left a(绝对值)	/Joint/Midfoot/Right X	/Joint/Midfoot/Right Y	/Joint/Midfoot/Right Z	/Joint/Midfoot/Right 长度	/Joint/Midfoot/Right v(X)	/Joint/Midfoot/Right v(Y)	/Joint/Midfoot/Right v(Z)	/Joint/Midfoot/Right v(绝对值)	/Joint/Midfoot/Right a(X)	/Joint/Midfoot/Right a(Y)	/Joint/Midfoot/Right a(Z)	/Joint/Midfoot/Right a(绝对值)	/Joint/Midfoot/Left X	/Joint/Midfoot/Left Y	/Joint/Midfoot/Left Z	/Joint/Midfoot/Left 长度	/Joint/Midfoot/Left v(X)	/Joint/Midfoot/Left v(Y)	/Joint/Midfoot/Left v(Z)	/Joint/Midfoot/Left v(绝对值)	/Joint/Midfoot/Left a(X)	/Joint/Midfoot/Left a(Y)	/Joint/Midfoot/Left a(Z)	/Joint/Midfoot/Left a(绝对值)	/Feature/Head/Ear/Left X	/Feature/Head/Ear/Left Y	/Feature/Head/Ear/Left Z	/Feature/Head/Ear/Left 长度	/Feature/Head/Ear/Left v(X)	/Feature/Head/Ear/Left v(Y)	/Feature/Head/Ear/Left v(Z)	/Feature/Head/Ear/Left v(绝对值)	/Feature/Head/Ear/Left a(X)	/Feature/Head/Ear/Left a(Y)	/Feature/Head/Ear/Left a(Z)	/Feature/Head/Ear/Left a(绝对值)	/Feature/Head/Ear/Right X	/Feature/Head/Ear/Right Y	/Feature/Head/Ear/Right Z	/Feature/Head/Ear/Right 长度	/Feature/Head/Ear/Right v(X)	/Feature/Head/Ear/Right v(Y)	/Feature/Head/Ear/Right v(Z)	/Feature/Head/Ear/Right v(绝对值)	/Feature/Head/Ear/Right a(X)	/Feature/Head/Ear/Right a(Y)	/Feature/Head/Ear/Right a(Z)	/Feature/Head/Ear/Right a(绝对值)	/Feature/Head/Nose X	/Feature/Head/Nose Y	/Feature/Head/Nose Z	/Feature/Head/Nose 长度	/Feature/Head/Nose v(X)	/Feature/Head/Nose v(Y)	/Feature/Head/Nose v(Z)	/Feature/Head/Nose v(绝对值)	/Feature/Head/Nose a(X)	/Feature/Head/Nose a(Y)	/Feature/Head/Nose a(Z)	/Feature/Head/Nose a(绝对值)	/Feature/Head/Eye/Left X	/Feature/Head/Eye/Left Y	/Feature/Head/Eye/Left Z	/Feature/Head/Eye/Left 长度	/Feature/Head/Eye/Left v(X)	/Feature/Head/Eye/Left v(Y)	/Feature/Head/Eye/Left v(Z)	/Feature/Head/Eye/Left v(绝对值)	/Feature/Head/Eye/Left a(X)	/Feature/Head/Eye/Left a(Y)	/Feature/Head/Eye/Left a(Z)	/Feature/Head/Eye/Left a(绝对值)	/Feature/Head/Eye/Right X	/Feature/Head/Eye/Right Y	/Feature/Head/Eye/Right Z	/Feature/Head/Eye/Right 长度	/Feature/Head/Eye/Right v(X)	/Feature/Head/Eye/Right v(Y)	/Feature/Head/Eye/Right v(Z)	/Feature/Head/Eye/Right v(绝对值)	/Feature/Head/Eye/Right a(X)	/Feature/Head/Eye/Right a(Y)	/Feature/Head/Eye/Right a(Z)	/Feature/Head/Eye/Right a(绝对值)	/Feature/Hand/Index/Base/Left X	/Feature/Hand/Index/Base/Left Y	/Feature/Hand/Index/Base/Left Z	/Feature/Hand/Index/Base/Left 长度	/Feature/Hand/Index/Base/Left v(X)	/Feature/Hand/Index/Base/Left v(Y)	/Feature/Hand/Index/Base/Left v(Z)	/Feature/Hand/Index/Base/Left v(绝对值)	/Feature/Hand/Index/Base/Left a(X)	/Feature/Hand/Index/Base/Left a(Y)	/Feature/Hand/Index/Base/Left a(Z)	/Feature/Hand/Index/Base/Left a(绝对值)	/Feature/Hand/Little/Base/Left X	/Feature/Hand/Little/Base/Left Y	/Feature/Hand/Little/Base/Left Z	/Feature/Hand/Little/Base/Left 长度	/Feature/Hand/Little/Base/Left v(X)	/Feature/Hand/Little/Base/Left v(Y)	/Feature/Hand/Little/Base/Left v(Z)	/Feature/Hand/Little/Base/Left v(绝对值)	/Feature/Hand/Little/Base/Left a(X)	/Feature/Hand/Little/Base/Left a(Y)	/Feature/Hand/Little/Base/Left a(Z)	/Feature/Hand/Little/Base/Left a(绝对值)	/Feature/Foot/Tip/Left X	/Feature/Foot/Tip/Left Y	/Feature/Foot/Tip/Left Z	/Feature/Foot/Tip/Left 长度	/Feature/Foot/Tip/Left v(X)	/Feature/Foot/Tip/Left v(Y)	/Feature/Foot/Tip/Left v(Z)	/Feature/Foot/Tip/Left v(绝对值)	/Feature/Foot/Tip/Left a(X)	/Feature/Foot/Tip/Left a(Y)	/Feature/Foot/Tip/Left a(Z)	/Feature/Foot/Tip/Left a(绝对值)	/Feature/Foot/Lateral/Left X	/Feature/Foot/Lateral/Left Y	/Feature/Foot/Lateral/Left Z	/Feature/Foot/Lateral/Left 长度	/Feature/Foot/Lateral/Left v(X)	/Feature/Foot/Lateral/Left v(Y)	/Feature/Foot/Lateral/Left v(Z)	/Feature/Foot/Lateral/Left v(绝对值)	/Feature/Foot/Lateral/Left a(X)	/Feature/Foot/Lateral/Left a(Y)	/Feature/Foot/Lateral/Left a(Z)	/Feature/Foot/Lateral/Left a(绝对值)	/Feature/Foot/Heel/Left X	/Feature/Foot/Heel/Left Y	/Feature/Foot/Heel/Left Z	/Feature/Foot/Heel/Left 长度	/Feature/Foot/Heel/Left v(X)	/Feature/Foot/Heel/Left v(Y)	/Feature/Foot/Heel/Left v(Z)	/Feature/Foot/Heel/Left v(绝对值)	/Feature/Foot/Heel/Left a(X)	/Feature/Foot/Heel/Left a(Y)	/Feature/Foot/Heel/Left a(Z)	/Feature/Foot/Heel/Left a(绝对值)	/Feature/Hand/Index/Base/Right X	/Feature/Hand/Index/Base/Right Y	/Feature/Hand/Index/Base/Right Z	/Feature/Hand/Index/Base/Right 长度	/Feature/Hand/Index/Base/Right v(X)	/Feature/Hand/Index/Base/Right v(Y)	/Feature/Hand/Index/Base/Right v(Z)	/Feature/Hand/Index/Base/Right v(绝对值)	/Feature/Hand/Index/Base/Right a(X)	/Feature/Hand/Index/Base/Right a(Y)	/Feature/Hand/Index/Base/Right a(Z)	/Feature/Hand/Index/Base/Right a(绝对值)	/Feature/Hand/Little/Base/Right X	/Feature/Hand/Little/Base/Right Y	/Feature/Hand/Little/Base/Right Z	/Feature/Hand/Little/Base/Right 长度	/Feature/Hand/Little/Base/Right v(X)	/Feature/Hand/Little/Base/Right v(Y)	/Feature/Hand/Little/Base/Right v(Z)	/Feature/Hand/Little/Base/Right v(绝对值)	/Feature/Hand/Little/Base/Right a(X)	/Feature/Hand/Little/Base/Right a(Y)	/Feature/Hand/Little/Base/Right a(Z)	/Feature/Hand/Little/Base/Right a(绝对值)	/Feature/Foot/Tip/Right X	/Feature/Foot/Tip/Right Y	/Feature/Foot/Tip/Right Z	/Feature/Foot/Tip/Right 长度	/Feature/Foot/Tip/Right v(X)	/Feature/Foot/Tip/Right v(Y)	/Feature/Foot/Tip/Right v(Z)	/Feature/Foot/Tip/Right v(绝对值)	/Feature/Foot/Tip/Right a(X)	/Feature/Foot/Tip/Right a(Y)	/Feature/Foot/Tip/Right a(Z)	/Feature/Foot/Tip/Right a(绝对值)	/Feature/Foot/Lateral/Right X	/Feature/Foot/Lateral/Right Y	/Feature/Foot/Lateral/Right Z	/Feature/Foot/Lateral/Right 长度	/Feature/Foot/Lateral/Right v(X)	/Feature/Foot/Lateral/Right v(Y)	/Feature/Foot/Lateral/Right v(Z)	/Feature/Foot/Lateral/Right v(绝对值)	/Feature/Foot/Lateral/Right a(X)	/Feature/Foot/Lateral/Right a(Y)	/Feature/Foot/Lateral/Right a(Z)	/Feature/Foot/Lateral/Right a(绝对值)	/Feature/Foot/Heel/Right X	/Feature/Foot/Heel/Right Y	/Feature/Foot/Heel/Right Z	/Feature/Foot/Heel/Right 长度	/Feature/Foot/Heel/Right v(X)	/Feature/Foot/Heel/Right v(Y)	/Feature/Foot/Heel/Right v(Z)	/Feature/Foot/Heel/Right v(绝对值)	/Feature/Foot/Heel/Right a(X)	/Feature/Foot/Heel/Right a(Y)	/Feature/Foot/Heel/Right a(Z)	/Feature/Foot/Heel/Right a(绝对值)
	7049	7049	7049	200831	200833	200835	200837	200842	200847	200849	200851	200856	9000	9000	9000	200861	200863	200865	200867	200872	200877	200879	200881	200886	9001	9001	9001	200891	200893	200895	200897	200902	200907	200909	200911	200916	9002	9002	9002	200921	200923	200925	200927	200932	200937	200939	200941	200946	9003	9003	9003	200951	200953	200955	200957	200962	200967	200969	200971	200976	9004	9004	9004	200981	200983	200985	200987	200992	200997	200999	201001	201006	9005	9005	9005	201011	201013	201015	201017	201022	201027	201029	201031	201036	9006	9006	9006	201041	201043	201045	201047	201052	201057	201059	201061	201066	9007	9007	9007	201071	201073	201075	201077	201082	201087	201089	201091	201096	9008	9008	9008	201101	201103	201105	201107	201112	201117	201119	201121	201126	9009	9009	9009	201131	201133	201135	201137	201142	201147	201149	201151	201156	9010	9010	9010	201161	201163	201165	201167	201172	201177	201179	201181	201186	9011	9011	9011	201191	201193	201195	201197	201202	201207	201209	201211	201216	9012	9012	9012	201221	201223	201225	201227	201232	201237	201239	201241	201246	9013	9013	9013	201251	201253	201255	201257	201262	201267	201269	201271	201276	9014	9014	9014	201281	201283	201285	201287	201292	201297	201299	201301	201306	9015	9015	9015	201311	201313	201315	201317	201322	201327	201329	201331	201336	9016	9016	9016	201341	201343	201345	201347	201352	201357	201359	201361	201366	9018	9018	9018	201371	201373	201375	201377	201382	201387	201389	201391	201396	9028	9028	9028	201401	201403	201405	201407	201412	201417	201419	201421	201426	9029	9029	9029	201431	201433	201435	201437	201442	201447	201449	201451	201456	9030	9030	9030	201461	201463	201465	201467	201472	201477	201479	201481	201486	9053	9053	9053	201491	201493	201495	201497	201502	201507	201509	201511	201516	9056	9056	9056	201521	201523	201525	201527	201532	201537	201539	201541	201546	10001	10001	10001	201551	201553	201555	201557	201562	201567	201569	201571	201576	10002	10002	10002	201581	201583	201585	201587	201592	201597	201599	201601	201606	10003	10003	10003	201611	201613	201615	201617	201622	201627	201629	201631	201636	10020	10020	10020	201641	201643	201645	201647	201652	201657	201659	201661	201666	10030	10030	10030	201671	201673	201675	201677	201682	201687	201689	201691	201696	20306	20306	20306	201701	201703	201705	201707	201712	201717	201719	201721	201726	20318	20318	20318	201731	201733	201735	201737	201742	201747	201749	201751	201756	21301	21301	21301	201761	201763	201765	201767	201772	201777	201779	201781	201786	21302	21302	21302	201791	201793	201795	201797	201802	201807	201809	201811	201816	21305	21305	21305	201821	201823	201825	201827	201832	201837	201839	201841	201846	30306	30306	30306	201851	201853	201855	201857	201862	201867	201869	201871	201876	30318	30318	30318	201881	201883	201885	201887	201892	201897	201899	201901	201906	31301	31301	31301	201911	201913	201915	201917	201922	201927	201929	201931	201936	31302	31302	31302	201941	201943	201945	201947	201952	201957	201959	201961	201966	31305	31305	31305	201971	201973	201975	201977	201982	201987	201989	201991	201996
0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000	0.00000000
